,Artist,Song Name,GPE,Line,Line Before,Line After
108,A$AP Rocky,Fuckin’ Problems,Hollywood,It started in Hollywood,[Chorus],Dreamin\' of sharin\' love
109,A$AP Rocky,Fuckin’ Problems,Hollywood,It started in Hollywood,[Chorus],"Duh, duh-duh"
110,A$AP Rocky,Fuckin’ Problems,Balmain,Lanvin or Balmain (Uh),See Visvim be the sneaker (Uh),Goyard by the trunk (Uh)
111,A$AP Rocky,Fuckin’ Problems,Raf Simons,"Rick Owens, Raf Simons, boy, she got it by the stock (Uh)",Papi in that Thom Browne (Uh),"She ball until she fall, that means she shop until she drop (Uh)"
112,A$AP Rocky,Fuckin’ Problems,Memphis,"Purp-purple sippin', finger twistin', teeth glisten like it's Memphis","A bunch of ignant little niglets, hardheaded, never listen",A bunch of hypocritic Christians (Uh)
113,A$AP Rocky,Fuckin’ Problems,Memphis,And I take it out to Memphis so shout out to Triple Six,"Nigga, RIP to Pimp, can't forget Little Flip",
114,A$AP Rocky,Fuckin’ Problems,Harlem,Come to Harlem if you never seen Baghdad,One you be with be the one to shoot at ya in a minute,First place I seen a nigga sell crack at
115,A$AP Rocky,Fuckin’ Problems,Baghdad,Come to Harlem if you never seen Baghdad,One you be with be the one to shoot at ya in a minute,First place I seen a nigga sell crack at
116,A$AP Rocky,Fuckin’ Problems,Phoenix,"Fake ass niggas, you know what I'm sayin'? These niggas be out here talkin' 'bout they a street nigga and shit, man niggas be gettin' extorted like a mothafucka out here man, you know what I'm sayin'?648Embed"", 'Phoenix Lyrics[Verse 1]",[Outro: Juicy J],Bloody ink on my pad spelled suicide
117,A$AP Rocky,Fuckin’ Problems,Paris,"I went to Paris for my trunks, 100 thousand spent on Goyard","Of my tux, chauffeur pullin' up, no if, and's\u200b or buts about him","Used 'em once, couldn't give a shit, damn or fuck about 'em"
118,A$AP Rocky,Fuckin’ Problems,Goyard,"I went to Paris for my trunks, 100 thousand spent on Goyard","Of my tux, chauffeur pullin' up, no if, and's\u200b or buts about him","Used 'em once, couldn't give a shit, damn or fuck about 'em"
119,A$AP Rocky,Fuckin’ Problems,New York,I put New York on the map,I put A$AP on my tat,I put the gang on the flames
120,Nicki Minaj,Fuckin’ Problems,us,"Worry \'bout y\'all niggas, us straight",Wo-wo-wo-worried \'bout if my butt fake,Th-these girls are my sons
121,Nicki Minaj,Fuckin’ Problems,L.A.,"You know, L.A. traffic, how the city slow",We had just come from that video,"She was sitting down on that big butt, but I was still staring at the titties though"
122,Nicki Minaj,Fuckin’ Problems,Houston,"Ass on Houston Texas, but the face look just like Clair Huxtable","Yeah, so thick that everybody else in the room is so uncomfortable","Oh! Yeah, you the man in the city when the mayor fuck with you"
123,Nicki Minaj,Fuckin’ Problems,Texas,"Ass on Houston Texas, but the face look just like Clair Huxtable","Yeah, so thick that everybody else in the room is so uncomfortable","Oh! Yeah, you the man in the city when the mayor fuck with you"
124,Nicki Minaj,Fuckin’ Problems,Mecca,"I\'m from Hollygrove, the holy Mecca",All my goons so overzealous,Calendar say I got money for days
125,Nicki Minaj,Fuckin’ Problems,Texas,"Ridin\'-ridin\' through Texas (Texas), feed him for his breakfast (Uh)",Pretty gang always keep them niggas on geek,"Everytime I whip it, I be talkin\' so reckless"
