,Artist,Song Name,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
149,Nicki Minaj,Fuckin’ Problems,Texas,"Man, I\'m out in Texas, man, I\'m out in A-town",[Verse 3: Nicki Minaj],Then I\'m up in Chi-town or Miami shuttin\' it down,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
150,Nicki Minaj,Fuckin’ Problems,Miami,Then I\'m up in Chi-town or Miami shuttin\' it down,"Man, I\'m out in Texas, man, I\'m out in A-town","It\'s that New Orleans, it\'s LA or The Bay","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
154,Nicki Minaj,Fuckin’ Problems,New York,"It\'s New York, Philly, and the whole DMV","It\'s that New Orleans, it\'s LA or The Bay","I\'m a Detroit player, man, it\'s North-South Cack","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
155,Nicki Minaj,Fuckin’ Problems,Philly,"It\'s New York, Philly, and the whole DMV","It\'s that New Orleans, it\'s LA or The Bay","I\'m a Detroit player, man, it\'s North-South Cack","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
164,Nicki Minaj,Fuckin’ Problems,Queens,"It\'s Queens, Brooklyn, and yeah, they wildin\'","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Bronx, Harlem, and Staten Island","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
165,Nicki Minaj,Fuckin’ Problems,Brooklyn,"It\'s Queens, Brooklyn, and yeah, they wildin\'","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Bronx, Harlem, and Staten Island","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
166,Nicki Minaj,Fuckin’ Problems,Bronx,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
167,Nicki Minaj,Fuckin’ Problems,Harlem,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
168,Nicki Minaj,Fuckin’ Problems,Staten Island,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
173,Nicki Minaj,Fuckin’ Problems,Jamaica,"He said he came from Jamaica, he owned a couple acres","I still love647Embed"", 'High School Lyrics[Verse 1: Nicki Minaj]",A couple fake visas \'cause he never got his papers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
