,Artist,Song Name,release date,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
546,Nicki Minaj,Beez In The Trap,2009-04-18,Brooklyn,"It\'s Queens, Brooklyn, and yeah, they wildin\'","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Bronx, Harlem, and Staten Island","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
547,Nicki Minaj,Beez In The Trap,2009-04-18,Bronx,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
548,Nicki Minaj,Beez In The Trap,2009-04-18,Harlem,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
549,Nicki Minaj,Beez In The Trap,2009-04-18,Staten Island,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
557,Nicki Minaj,Beez In The Trap,2009-04-18,New York,"It\'s New York, Philly, and the whole DMV","It\'s that New Orleans, it\'s LA or The Bay","I\'m a Detroit player, man, it\'s North-South Cack","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
568,Nicki Minaj,Beez In The Trap,2009-04-18,Brooklyn,"It\'s Queens, Brooklyn, and yeah, they wildin\'","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Bronx, Harlem, and Staten Island","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
569,Nicki Minaj,Beez In The Trap,2009-04-18,Bronx,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",[Chorus: Nicki Minaj],"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
570,Nicki Minaj,Beez In The Trap,2009-04-18,Harlem,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",[Chorus: Nicki Minaj],"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
571,Nicki Minaj,Beez In The Trap,2009-04-18,Staten Island,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",[Chorus: Nicki Minaj],"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",0.268,0.0,0.732,0.296
573,Nicki Minaj,Big Bidness,2014-12-12,NYC,The b-baddest yellow bitch in the NYC!”,"I be all around town yelling, “I am she","Listen, I don’t wanna fight, I’m too pretty and little","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
